"direccion","lat","lon"
"ANCASTE 3687, CABA, Argentina",-34.6490663489796,-58.4131047510204
"ALVAREZ JONTE AV. 3501, CABA, Argentina",-34.6090356,-58.4831897
"CASTAÑON 3475, CABA, Argentina",-34.6641309591837,-58.4338887142857
"ESCALADA AV. 4921, CABA, Argentina",-34.6745264,-58.4601315
"IBERA 2286, CABA, Argentina",-34.5529694714286,-58.4632169857143
"CHACABUCO 199, CABA, Argentina",-34.6103887,-58.3763186
"CABILDO AV. 2996, CABA, Argentina",-34.554727635576,-58.4636218197416
"BEAZLEY 3814, CABA, Argentina",-34.6541725714286,-58.4136782040816
"CABILDO AV. 4499, CABA, Argentina",-34.5430534,-58.4724316
"ARENGREEN 1241, CABA, Argentina",-34.6134161632653,-58.4497206734694
"DIRECTORIO AV. 4989, CABA, Argentina",-34.6505978183673,-58.4909253102041
"TERRADA 1010, CABA, Argentina",-34.6206128244898,-58.472683677551
"GORRITI 3453, CABA, Argentina",-34.5955390061225,-58.4132693081633
"PERU 501, CABA, Argentina",-34.6138806,-58.3746941
"CONGRESO 1881, CABA, Argentina",-34.5525887163265,-58.4572273081633
"ARMENIA 1242, CABA, Argentina",-34.592768,-58.4323729
"CATAMARCA 325, CABA, Argentina",-34.6139690871389,-58.4065110051396
"DIAZ COLODRERO 2315, CABA, Argentina",-34.5743834142857,-58.4848891857143
"NICARAGUA 6069, CABA, Argentina",-34.5778541836735,-58.4382656632653
"PASCO 48, CABA, Argentina",-34.60989625,-58.39725865
"ESCALADA AV. 2303, CABA, Argentina",-34.6745264,-58.4601315
"ENTRE RIOS AV. 1982, CABA, Argentina",-34.6227394,-58.3914497
"HOMERO 472, CABA, Argentina",-34.6425491,-58.4938768857143
"NUÑEZ 1612, CABA, Argentina",-34.5460751408163,-58.4600704040816
"CABILDO AV. 3002, CABA, Argentina",-34.5545064,-58.4638203
"CABILDO AV. 2530, CABA, Argentina",-34.5580999,-58.460501691551
"AVELLANEDA AV. 2719, CABA, Argentina",-34.6255155877551,-58.4692415693878
"CABILDO AV. 2225, CABA, Argentina",-34.56061435,-58.4575081577057
"TUCUMAN 501, CABA, Argentina",-34.6009465,-58.3741574
"COMBATE DE LOS POZOS 706, CABA, Argentina",-34.6170481,-58.3931239142857
"AVENIDA DE LOS INCAS 4732, CABA, Argentina",-34.5834910816327,-58.4770186938775
"MORENO 877, CABA, Argentina",-34.6114678,-58.3787057
"RIVADAVIA AV. 2301, CABA, Argentina",-34.6204106,-58.4412692
"CABILDO AV. 2677, CABA, Argentina",-34.556828074359,-58.4610115435897
"URDININEA 1725, CABA, Argentina",-34.5783048326531,-58.4754059040816
"GORRITI 4488, CABA, Argentina",-34.5930101020408,-58.4259721632653
"HUMBERTO 1° 2495, CABA, Argentina",-34.6203507,-58.3663452
"CULLEN 4891, CABA, Argentina",-34.5713852877551,-58.4853096204082
"LIMA 1493, CABA, Argentina",-34.6238177,-58.3814464
"DE LOS CONSTITUYENTES AV. 6020, CABA, Argentina",-34.5865322,-58.4868782
"DIAZ VELEZ AV. 5000, CABA, Argentina",-34.6084065,-58.4168375
"URIARTE 1501, CABA, Argentina",-34.588121,-58.432909
"CHARCAS 3888, CABA, Argentina",-34.5870960142857,-58.4186574183673
"HUMBERTO 1° 319, CABA, Argentina",-34.6206159,-58.3684372
"HONDURAS 4928, CABA, Argentina",-34.5892560122449,-58.429549644898
"GORRITI 4295, CABA, Argentina",-34.5941489,-58.42417
"LACARRA AV. 1810, CABA, Argentina",-34.6689595,-58.4428191
"VUELTA DE OBLIGADO 2481, CABA, Argentina",-34.5579126367347,-58.4586451653061
"MAGALLANES 1221, CABA, Argentina",-34.640797877551,-58.3679446938776
"CORTINA 969, CABA, Argentina",-34.6311552816327,-58.5106997244898
"BALBASTRO 2253, CABA, Argentina",-34.6425274795918,-58.4476877979592
"LARRAZABAL 4146, CABA, Argentina",-34.6772217346939,-58.4709395714286
"IBERA 2019, CABA, Argentina",-34.5486855,-58.4551472
"AZURDUY JUANA 2299, CABA, Argentina",-34.5498594,-58.4658497
"CABILDO AV. 3896, CABA, Argentina",-34.5475968770492,-58.469509595082
"CABILDO AV. 1342, CABA, Argentina",-34.5678495040816,-58.4495178877551
"CRAMER 3626, CABA, Argentina",-34.551211255102,-58.4730072469388
"BOEDO AV. 909, CABA, Argentina",-34.6243354795918,-58.4163267346939
"SALTA 1488, CABA, Argentina",-34.6257682244898,-58.3827909387755
